epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,250.131,0.63858,0.41457,0.82584,0.99532,0.99219,0.99496,0.91136,0.46377,0.34116,0.86597,0.0003961,0.0003961,0.0003961
63,254.101,0.5779,0.39558,0.81629,0.99675,0.97266,0.9927,0.88909,0.48044,0.34857,0.86711,0.0003862,0.0003862,0.0003862
64,258.075,0.61051,0.39913,0.81561,0.99604,0.9813,0.99484,0.90515,0.50325,0.36533,0.89359,0.0003763,0.0003763,0.0003763
65,261.994,0.6153,0.40407,0.82349,0.98841,0.99947,0.99496,0.91656,0.42975,0.31749,0.85657,0.0003664,0.0003664,0.0003664
66,265.967,0.56984,0.38222,0.82372,0.9844,0.99609,0.99484,0.88963,0.5264,0.35839,0.88455,0.0003565,0.0003565,0.0003565
67,269.881,0.58626,0.39071,0.81911,0.99544,1,0.995,0.90665,0.43848,0.33022,0.86324,0.0003466,0.0003466,0.0003466
68,273.82,0.57075,0.38882,0.82117,1,0.99561,0.995,0.91463,0.45274,0.34262,0.86839,0.0003367,0.0003367,0.0003367
69,277.747,0.546,0.38716,0.82527,0.99215,0.9878,0.99477,0.90728,0.47785,0.34668,0.85973,0.0003268,0.0003268,0.0003268
70,281.719,0.52277,0.3698,0.81784,1,0.98179,0.99481,0.92967,0.41258,0.3215,0.85607,0.0003169,0.0003169,0.0003169
71,285.785,0.55548,0.37648,0.81425,0.99219,0.99196,0.99488,0.91092,0.45134,0.33111,0.8571,0.000307,0.000307,0.000307
72,289.817,0.55725,0.38319,0.81651,0.99482,0.98828,0.9948,0.91112,0.46188,0.34342,0.85524,0.0002971,0.0002971,0.0002971
73,293.761,0.51245,0.3622,0.80024,0.99222,0.99591,0.99496,0.92817,0.40385,0.30984,0.84687,0.0002872,0.0002872,0.0002872
74,297.723,0.55811,0.37768,0.80497,1,0.99463,0.995,0.93076,0.44945,0.32998,0.845,0.0002773,0.0002773,0.0002773
